ProtMode: 1;;;
;;;
Location: ProtFuncA.Bank1;;;
FieldNumber: 1;;;
FieldType: Warning;;;
Angle;Distance;X;Y
-88,8;1695;-1694,62825848986;35,49740170229
-44,1;2487;-1730,73512512509;1785,98010253705
22,5;1884;720,975586575829;1740,58903925126
90;679;679;0
;;;
Location: ProtFuncA.Bank1;;;
FieldNumber: 1;;;
FieldType: Protection;;;
Angle;Distance;X;Y
-88;1695;-1693,96745179737;59,1546469107435
-50,5;2226;-1717,63632262106;1415,9101183383
-11,3;1455;-285,101639872863;1426,79432818532
19,9;1024;348,548659418163;962,855042058669
83,9;379;376,854080826485;40,2740830364323
